trial_ID;arrow_1;arrow_2;arrow_3;arrow_4;cero_refrescado;uno_refrescado;dos_refrescado;candi_target;target_disco;color_disco030;color_disco090;color_disco150;color_disco210;color_disco270;color_disco330;target_color;practice_trial
1;arrow210.png;arrow330.png;arrow030.png;arrow210.png;['arrow090.png', 'arrow150.png', 'arrow270.png'];['arrow330.png', 'arrow030.png'];['arrow210.png'];dos_refrescado;disc210;343;108;204;244;322;136;244;Yes
2;arrow270.png;arrow030.png;arrow210.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow330.png'];['arrow270.png', 'arrow210.png'];['arrow030.png'];cero_refrescado;disc330;232;198;257;123;15;46;46;Yes
3;arrow210.png;arrow030.png;arrow270.png;arrow210.png;['arrow090.png', 'arrow150.png', 'arrow330.png'];['arrow030.png', 'arrow270.png'];['arrow210.png'];dos_refrescado;disc210;27;68;271;216;140;160;216;Yes
4;arrow330.png;arrow270.png;arrow030.png;arrow270.png;['arrow090.png', 'arrow150.png', 'arrow210.png'];['arrow330.png', 'arrow030.png'];['arrow270.png'];dos_refrescado;disc270;1;89;258;175;301;121;301;Yes
5;arrow030.png;arrow090.png;arrow330.png;arrow210.png;['arrow150.png', 'arrow270.png'];['arrow030.png', 'arrow090.png', 'arrow330.png', 'arrow210.png'];['non_existent'];cero_refrescado;disc150;343;138;4;118;308;226;4;Yes
6;arrow210.png;arrow270.png;arrow090.png;arrow330.png;['arrow030.png', 'arrow150.png'];['arrow210.png', 'arrow270.png', 'arrow090.png', 'arrow330.png'];['non_existent'];uno_refrescado;disc210;321;53;20;220;354;109;220;No
7;arrow270.png;arrow150.png;arrow270.png;arrow090.png;['arrow030.png', 'arrow210.png', 'arrow330.png'];['arrow150.png', 'arrow090.png'];['arrow270.png'];uno_refrescado;disc270;11;53;152;128;352;95;352;No
8;arrow150.png;arrow270.png;arrow330.png;arrow270.png;['arrow030.png', 'arrow090.png', 'arrow210.png'];['arrow150.png', 'arrow330.png'];['arrow270.png'];uno_refrescado;disc270;41;14;331;103;221;177;221;No
9;arrow150.png;arrow030.png;arrow090.png;arrow150.png;['arrow210.png', 'arrow270.png', 'arrow330.png'];['arrow030.png', 'arrow090.png'];['arrow150.png'];uno_refrescado;disc030;340;192;258;42;111;148;340;No
10;arrow210.png;arrow270.png;arrow150.png;arrow270.png;['arrow030.png', 'arrow090.png', 'arrow330.png'];['arrow210.png', 'arrow150.png'];['arrow270.png'];dos_refrescado;disc270;103;217;167;301;351;269;351;No
11;arrow150.png;arrow090.png;arrow330.png;arrow270.png;['arrow030.png', 'arrow210.png'];['arrow150.png', 'arrow090.png', 'arrow330.png', 'arrow270.png'];['non_existent'];uno_refrescado;disc090;322;131;234;74;53;205;131;No
12;arrow270.png;arrow030.png;arrow270.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow330.png'];['non_existent'];['arrow270.png', 'arrow030.png'];cero_refrescado;disc090;4;182;329;142;308;233;182;No
13;arrow210.png;arrow090.png;arrow210.png;arrow090.png;['arrow030.png', 'arrow150.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow210.png', 'arrow090.png'];cero_refrescado;disc150;42;131;287;320;188;341;287;No
14;arrow270.png;arrow330.png;arrow030.png;arrow270.png;['arrow090.png', 'arrow150.png', 'arrow210.png'];['arrow330.png', 'arrow030.png'];['arrow270.png'];dos_refrescado;disc270;272;306;57;235;83;27;83;No
15;arrow150.png;arrow090.png;arrow150.png;arrow030.png;['arrow210.png', 'arrow270.png', 'arrow330.png'];['arrow090.png', 'arrow030.png'];['arrow150.png'];cero_refrescado;disc210;141;340;250;5;107;82;5;No
16;arrow270.png;arrow210.png;arrow270.png;arrow210.png;['arrow030.png', 'arrow090.png', 'arrow150.png', 'arrow330.png'];['non_existent'];['arrow270.png', 'arrow210.png'];cero_refrescado;disc330;39;224;311;278;109;361;361;No
17;arrow030.png;arrow330.png;arrow090.png;arrow330.png;['arrow150.png', 'arrow210.png', 'arrow270.png'];['arrow030.png', 'arrow090.png'];['arrow330.png'];uno_refrescado;disc030;23;339;294;83;146;238;23;No
18;arrow270.png;arrow090.png;arrow210.png;arrow090.png;['arrow030.png', 'arrow150.png', 'arrow330.png'];['arrow270.png', 'arrow210.png'];['arrow090.png'];uno_refrescado;disc090;70;27;236;126;268;49;27;No
19;arrow210.png;arrow270.png;arrow210.png;arrow270.png;['arrow030.png', 'arrow090.png', 'arrow150.png', 'arrow330.png'];['non_existent'];['arrow210.png', 'arrow270.png'];cero_refrescado;disc330;323;135;284;352;158;16;16;No
20;arrow270.png;arrow030.png;arrow270.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow330.png'];['non_existent'];['arrow270.png', 'arrow030.png'];dos_refrescado;disc030;234;355;267;157;3;321;234;No
21;arrow030.png;arrow270.png;arrow030.png;arrow270.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow330.png'];['non_existent'];['arrow030.png', 'arrow270.png'];dos_refrescado;disc270;359;195;326;55;286;82;286;No
